IN,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
76,1.791031769,7.4,0.29,0.5,8.5,-0.48,178,647,0.97275,3.45,0.5,10.2,-1,2.079441542,1
83,0.927144602,11.7,1.18,-0.94,-62,0.675,7,-393,0.99974,3.96,0.69,5.2,1,2.564949357,1
87,3.393116486,9.7,0.41,-1,18.15,-0.235,24,113,0.99772,3.44,0.53,9.8,0,1.945910149,2
92,5.806402701,-5.2,-0.98,-0.08,6.4,0.046,180,166,0.994,3.3,2.18,9.9,1,1.609437912,3
98,2.223516045,7.3,0.19,0.49,-35.55,0.38,-75,343,0.9998,3.42,0.36,13.3,-2,2.079441542,2
106,4.679835925,6.7,-0.78,0.31,16.4,-0.03,20,-16,0.99834,3.11,-0.57,9.1,0,1.945910149,3
107,3.928372298,4.1,0.54,-0.3,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,2,2.079441542,2
113,1.722048909,6.5,1.53,0.84,-14.4,0.047,54,184,0.9461,3.17,-0.56,9.2,-1,1.945910149,1
120,3.469254563,11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,0,1.945910149,2
123,4.511097299,-5,0.16,0.78,1.4,-0.898,10,67,0.94608,2.5,0.41,9.4,2,1.945910149,2
125,2.497831539,8.3,0.26,1.93,-12.7,0.042,41,479,0.99869,3.1,1.66,12,-1,2.197224577,2
126,6.391993989,3.3,0.23,-1.39,1.8,0.043,-183,69,0.9933,3.38,0.31,10.8,1,1.791759469,4
128,5.494439699,8.7,0.3,0.3,-4.5,0.053,48.5,314,0.94736,2.73,2,10.3,0,2.079441542,4
129,1.615071449,1.2,1.01,0.32,82.2,0.038,-345,277,0.99074,4.29,-1.02,9,-1,1.945910149,1
131,4.304017264,7,0.21,0.49,4.5,-0.066,400,-239,0.95914,4.79,0.47,10.8,0,2.079441542,3
135,3.488671074,7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,2.079441542,2
141,4.651402913,-5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,1.945910149,3
147,2.341134388,-3.9,0.74,-0.95,11.7,0.4,293,185,0.99266,3.28,-2.01,16.4,0,1.945910149,1
148,2.508253082,8,-0.41,0.57,10.4,0.585,176,134,0.98409,3.12,-0.35,10.7,-1,2.197224577,2
151,3.391746172,6.7,0.14,0.49,1.4,-0.233,6,-77,1.01696,2.92,0.42,10.8,0,1.945910149,2
156,2.499775621,6.4,0.29,0.18,3,0.04,21,-102,0.99736,4.39,1.42,9.2,1,1.945910149,1
157,4.324802407,6.9,-2.34,1.33,-28.4,0.039,-30,98,1.01251,4.64,0.46,9.2,-1,1.945910149,3
174,2.086685273,5.6,0.12,0.24,4.8,-0.465,24,72,1.024,3.23,3.32,12.6,-1,1.791759469,1
186,4.427811185,7.9,-0.42,-1.2,1.6,0.582,201,-205,0.95684,4.2,0.69,11.2,1,2.197224577,3
193,1.690659159,6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,1.945910149,1
195,3.0594649,1.2,0.3,0.21,-27.85,0.044,33,153,0.99244,3.96,1.06,9.9,0,2.079441542,2
212,1.636817909,8.4,0.725,0.11,1.9,-0.296,35,63,0.9965,3.19,2.05,9.6,0,2.197224577,1
213,2.798675882,8,1.2,-0.26,12.6,-0.351,-98,213,0.97841,3.66,0.56,9.3,0,2.197224577,2
217,2.084190885,6.8,1.36,0.3,20.7,0.043,-263,-2,1.03284,3.17,0.46,24.4,0,1.945910149,1
223,3.765901505,14.3,0.32,0.25,-2.3,0.013,13,349,0.9957,4.65,-1.19,12.2,0,1.791759469,2
226,2.289634928,6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,1.945910149,1
228,4.063103697,-4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,1.791759469,2
230,4.304858685,28.3,0.645,0.03,-7.9,0.086,195,39,0.9969,2.93,-0.53,11.6,0,2.079441542,3
241,1.613987004,4.7,0.98,0.35,24.7,0.235,11,-9,0.9926,2.19,0.38,12.4,0,2.197224577,1
243,3.328574022,5.8,0.21,0.25,-50.5,0.038,-33,-135,0.96472,3.28,0.49,9.4,0,1.945910149,2
249,4.202474577,8.9,0.33,-0.5,61.55,0.038,-234,138,0.96369,3.03,0.09,6.4,0,2.079441542,3
281,4.330864604,10.6,-1.02,-0.61,1.1,-0.422,-25,107,0.9923,2.45,-0.34,10.2,0,2.197224577,3
288,1.052888657,10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,-1.31,11.7,0,2.48490665,1
294,0.887335148,8.8,0.2,-0.59,92.4,0.053,167,214,1.026,2,0.79,8.8,-2,2.197224577,1
295,1.25272881,6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,-1.13,4.2,-2,1.945910149,1
300,4.271723123,6.5,0.62,1.82,8,-0.179,-208,431,0.97319,2.68,0.47,7.4,2,1.945910149,2
302,3.441113167,9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,2.079441542,2
303,3.520780897,0.3,-0.87,-0.8,69.5,0.54,170,83,0.98867,3.09,-0.44,11.7,0,1.945910149,2
308,4.259570599,6,0.25,0.28,-37.7,-0.468,37,132,0.99489,4.01,-1.96,9.4,-1,1.945910149,3
319,4.175902323,9,0.35,1.5,51.9,0.252,282,36,0.9912,3.35,-0.31,11.63333333,1,1.791759469,2
320,3.134461491,8.7,0.31,0.27,5.6,-0.331,91,688,0.96927,3.65,0.52,13.3,0,2.197224577,2
324,2.146535452,-0.1,0.32,0.37,1.8,-0.286,13,-184,0.9945,4.55,0.48,10.5,0,1.945910149,1
331,1.923470263,6.6,0.24,0.35,-13.7,0.031,36,135,0.9938,3.24,-1.81,14.5,-1,1.945910149,1
343,1.998029677,7.2,0.21,1.15,25.4,0.043,186,213,0.98368,3.89,0.5,9.6,0,2.079441542,1
347,1.57603821,7.4,-1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,-1,2.079441542,1
348,3.546619384,10.6,0.34,0.35,10.8,-0.657,-229,179,0.998,2.87,-2.56,8.3,0,1.945910149,2
350,3.806028687,4.6,0.24,-0.66,1.3,0.043,71,462,0.95428,3.19,-1.32,14.7,1,2.079441542,2
357,1.08416805,3.9,0.53,1.21,2,0.058,243,-144,1.01599,3.21,-0.86,12.4,-2,2.079441542,1
358,3.192168315,16,0.43,0.34,-4.9,0.068,-166,104,1.0247,3.19,2.03,9.3,0,1.945910149,2
360,4.72379037,15.8,0.86,0.38,41,0.625,57,132,0.98895,3.28,-0.07,12.4,0,1.791759469,3
366,2.749139112,-14.7,-0.42,0.31,22.3,0.035,-201,99,0.98914,3.26,-1.28,11,1,1.945910149,1
367,1.818946748,13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,-1,1.945910149,1
368,4.899370317,6.7,0.41,0.15,41.1,0.033,25,-30,0.94975,3.05,-0.4,0.1,1,1.945910149,3
376,1.271760788,0.5,0.98,0.53,2.1,-0.487,152,-149,1.01881,2.19,-0.8,6.3,-1,2.197224577,1
380,2.641144107,5.8,-0.49,1.78,62.3,0.044,-208,152,0.9961,3.31,-2.01,9.4,0,1.791759469,1
388,0.212171038,2.8,0.46,0.44,-66,0.052,4,8,1.05282,3.33,1.67,6.9,-2,2.397895273,1
396,3.949877957,12.5,0.43,1.78,3.6,-1.065,7,45,0.96801,3.57,0.79,6.4,1,1.945910149,2
398,5.630794022,7.4,0.18,0.29,52.2,-0.171,260,366,0.96443,3.54,0.6,10.5,0,2.079441542,4
403,4.363703493,7.1,-0.49,-1,46.7,0.033,16,78,0.993,2.91,-0.87,5.4,0,2.079441542,3
410,1.432739704,3,-1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,2.397895273,1
412,5.094247826,8.1,0.24,1.86,11,0.043,41,586,0.98863,3.3,-1.38,10,2,2.197224577,3
420,1.71020505,17.1,0.41,0.66,-10.4,-0.983,77,194,0.9976,3.05,0.46,8.7,-1,2.079441542,1
434,1.544404728,7.7,-0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,-1,2.079441542,1
440,2.179702745,12.4,0.27,1.42,1.6,0.04,-47,86,1.01383,2.82,-0.22,7.8,0,1.945910149,1
450,2.886660448,0.6,2.09,-0.56,2.8,0.054,225,16,1.01003,2.97,0.63,9.6,0,2.079441542,2
453,1.754838971,6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,2.079441542,1
464,5.653354871,-5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,1.945910149,4
465,3.817085274,7.5,-1.17,0.32,19.8,0.036,25,305,0.9962,2.06,0.5,10.2,1,2.079441542,2
466,5.524839494,7.3,0.3,0.29,2.1,0.048,-3,-261,0.98956,5.01,1.36,12.6,0,1.945910149,4
473,1.511793461,6.3,1.24,0.32,-18.9,0.04,155,-287,1.02361,3.24,2.18,11.3,-1,1.945910149,1
476,3.558856449,10.9,-0.98,-0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,1.945910149,2
478,2.264943715,1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,-0.39,11.7,0,1.945910149,1
479,3.117796941,-4,-1.1,1.35,2.4,-0.808,35,115,0.98936,3.19,0.44,18.8,-1,2.079441542,2
493,2.136937601,0.2,0.43,0.11,1.1,0.029,-233,51,0.93069,2.57,0.48,15.5,-1,1.791759469,1
497,3.396318053,15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,0.26,9.1,-1,2.197224577,3
503,3.407565391,6.8,0.25,2.5,-2.6,0.547,92,123,0.9951,3.03,-2.71,8.6,0,1.945910149,2
504,2.752162421,-3.2,1.92,0.42,5.5,-0.334,29,-636,0.9973,3.42,1.31,10.5,0,2.079441542,2
505,2.549083053,6.8,0.18,0.3,138.2,-0.195,88,443,0.99808,3.6,0.8,3.6,-2,1.945910149,2
507,2.842915429,17.5,0.34,-1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,2.397895273,2
513,1.874886254,7.2,1.74,-0.92,-41.4,0.787,46,121,1.00183,3.44,0.61,11,0,1.945910149,1
519,1.692121841,9.5,0.88,1.43,6.4,0.057,25,-86,0.97526,2.75,0.45,10.5,-1,1.945910149,1
521,3.430133455,12.7,-0.25,0.32,50.1,-0.515,-211,102,0.97956,3.41,0.79,6.1,0,1.945910149,2
522,3.553052987,6.2,-1.09,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,1.945910149,2
545,2.12743269,9.1,0.55,0.45,23.9,0.049,-161,160,0.9974,2.11,0.5,6.1,0,1.945910149,1
549,4.786843798,-4.4,-0.05,1.46,-9.7,0.047,46,144,0.98881,2.31,-1.28,17.9,0,1.945910149,3
551,1.83009154,2.3,-0.03,-1.13,2.1,0.227,8,-266,1.0343,4.09,0.74,16.4,0,2.079441542,1
556,5.639386727,0.5,0.23,0.31,-46.7,-0.286,312,96,0.98613,2.56,1.06,15.6,2,1.945910149,3
557,6.425544645,8.4,-0.44,0.56,2.2,0.026,108,104,0.96778,3.38,-1.43,17.1,1,1.945910149,4
559,1.692319716,6.8,0.56,0.41,-61.8,0.22,79.5,183,0.99742,2.41,0.78,4.7,-1,1.945910149,1
560,1.702478524,10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,0.69,14.4,-1,1.945910149,1
566,3.117899434,6.7,1.62,1.33,-26.9,0.639,127,150,0.9968,3.22,0.51,9.9,0,1.945910149,2
569,3.507456046,7.1,0.32,0.29,43.2,-0.1,20,31,0.99463,3.27,0.64,7.8,1,2.079441542,2
573,1.900837063,6.6,-1.14,0.86,-7.9,0.169,-55,-193,0.99734,3.25,0.38,16.2,-1,1.945910149,1
578,4.158783283,8.3,-0.48,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,2.197224577,3
579,4.89176692,-1.7,0.01,0.25,-49.4,-0.319,58,54,0.96419,3.27,0.59,15.5,1,2.079441542,3
582,4.416669759,-1.7,2.38,0.24,-44.6,0.122,18,147,0.99315,3.42,0.62,10.4,1,2.079441542,3
596,4.441778311,7.4,-1.2,-1.02,2.7,-0.355,30,107,0.98127,3.31,3.12,9.9,0,2.079441542,3
598,0.987042236,9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,2.04,10,-1,2.302585093,1
599,1.59245379,8,-1.14,-0.73,65.5,-0.034,41,103,0.99002,3,-0.77,16.4,-1,2.197224577,1
602,2.065762384,0.2,0.26,0.26,-40.2,0.036,578,214,0.9986,4.65,0.5,10,0,2.079441542,1
605,4.284494614,15.5,0.2,1.37,-42,0.015,-82,-307,0.98493,4.2,0.55,12.05,-1,1.791759469,3
617,2.394921457,4.8,0.75,0.28,-24.8,0.134,-239,322,0.96924,3.38,0.23,11.3,-1,1.609437912,1
619,5.570023275,8.2,0.22,0.3,1.8,0.432,-173,185,0.9933,3.08,0.5,14.4,1,2.197224577,4
630,2.550741229,7.3,-1.09,0.26,61,0.09,7,135,0.9944,3.01,-0.89,5.6,1,2.079441542,1
634,2.928214788,-0.4,0.21,0.41,-38.6,-0.43,14,543,0.96566,2.96,0.53,13.4,0,2.302585093,2
643,1.443725584,7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,0.67,12,-1,2.079441542,1
645,1.857300975,9.4,2.085,0.2,2.4,0.355,-144,143,0.97286,3.28,0.58,6.8,-1,2.302585093,2
647,3.767804076,3.4,0.42,-0.03,2.4,0.061,19,74,0.99184,4.46,-0.27,10.9,1,1.945910149,2
649,2.302917021,6.7,0.42,0.46,9.7,0.054,67,-228,1.00612,2.22,0.5,9,1,2.079441542,1
656,3.157419026,7.2,0.31,0.26,50.6,0.05,37,157,0.99625,2.7,0.01,11,0,2.079441542,2
657,4.317180051,-7.1,0.23,0.56,73.15,0.063,204.5,693,1.00365,4.35,2.11,9.3,1,2.302585093,3
658,2.451032485,6.1,-0.23,0.25,6.9,-1.093,-25,21,0.9955,3.19,0.4,8.8,0,1.945910149,1
667,4.001494758,7.4,-0.43,1.2,43.6,0.037,290,-7,0.96874,3.25,0.37,10.4,-1,2.079441542,3
692,2.387809464,6.8,0.3,0.95,84.2,-0.409,45,150,0.94879,3.04,0.51,11.8,0,1.945910149,1
693,4.46225653,6.6,0.88,-0.9,-29.6,0.138,41,168,0.95668,3.2,1.08,8.7,0,1.945910149,3
698,2.395339884,16.4,1.32,-0.28,41,0.315,-218,-97,0.9986,2.89,0.5,8.2,1,2.48490665,2
699,3.086516449,7.3,1.44,2.04,12.8,-0.173,73,253,0.94876,4.19,0.71,13.6,0,2.079441542,2
700,6.224066297,7.1,1.85,0.98,33.3,0.045,88,587,0.96586,3.16,-1.02,1.4,2,2.079441542,4
704,2.997462369,6.5,0.33,0.3,3.8,0.036,190,88,0.9442,3.25,2.01,12.5,-1,1.945910149,2
707,2.412589506,7.2,0.92,-0.09,10.4,-0.169,-240,98,0.9459,2.96,-2.32,9.1,1,2.079441542,1
708,3.686168085,7,-0.59,-0.62,2,0.364,10,203,0.98091,3.4,0.47,16.6,1,2.079441542,2
709,2.21892682,6.5,0.46,0.41,16.8,0.084,-110,233,0.9923,4.41,-0.98,13.8,0,1.945910149,1
713,0.90352763,8.9,1.84,0.51,-45.5,0.052,403,27,0.995,4.33,0.14,9.9,-1,2.302585093,1
714,2.492755229,6.8,1.285,1.48,8.5,-0.327,10,-87,1.01657,2.67,1.97,9.5,-1,2.079441542,2
716,1.178377381,8.2,1.42,-0.4,1.8,0.047,71,187,1.03856,3.13,0.5,16.8,-1,2.197224577,1
718,3.363082865,6.4,0.31,0.66,18.3,-0.258,-152,101,0.9934,3.29,0.38,9,0,1.945910149,2
722,3.984523212,19.2,1.84,0.32,-12.4,0.035,-169,-253,0.99144,2.45,0.6,12.9,0,2.079441542,3
729,5.492309292,22.7,-0.33,2.56,-46.5,0.054,40,400,1.0338,4.73,-0.32,10.8,2,1.945910149,3
731,1.605169187,0.4,1.45,0.71,2.3,0.045,295,115,1.00802,3.17,0.43,8.8,0,2.197224577,1
733,2.838382572,0.5,0.17,0.31,-19.7,-0.129,13,-233,0.993,2.79,0.37,9.3,0,2.197224577,2
746,2.279003471,17.5,-0.07,-0.14,-36.2,0.317,29,113,0.99188,3.13,1.2,18.6,0,1.945910149,1
747,2.775338853,8,0.22,0.42,-33.4,0.894,73,589,1.0003,3.81,0.69,8.6,0,2.197224577,2
748,1.544845503,11.5,-0.6,0.73,-63,0.052,19,-16,0.9923,3.6,1.4,11.2,-1,2.079441542,1
753,1.291507996,9.3,1.03,0.26,-33.8,0.457,-17,408,1.02106,3.29,1.99,9.8,-1,2.079441542,1
757,1.437187658,7,0.21,-0.09,8.5,0.033,31,177,0.9953,3.22,0.56,2.3,-1,2.079441542,1
763,3.114325593,7.8,0.16,0.25,1.4,-0.286,214,-42,0.94765,2.82,0.44,11.1,-1,1.945910149,2
767,5.159794773,17.1,0.14,0.76,-35.6,0.625,26,-284,1.01779,3.25,0.45,18.1,1,1.791759469,3
774,2.045813557,2.3,0.53,0.93,35.6,-0.454,-251,163,1.03814,5.76,0.83,10.3,0,1.945910149,1
776,3.477198227,18.1,0.705,0.96,1.8,-0.213,15,63,0.99901,3,1.59,9.5,1,2.079441542,2
788,2.872093813,11.4,1.375,0.04,2,0.087,12,67,0.99565,3.61,1.61,9.4,0,2.079441542,2
794,3.303771685,6.4,-0.21,3.19,5.3,0.409,57,-15,0.9953,3.31,1.3,9.8,0,1.945910149,2
799,2.235325618,-15.4,0.52,0.36,35.9,0.138,41,536,0.95449,3.98,0.38,5.8,0,1.945910149,1
803,4.414902824,16,-0.17,-0.18,-85.6,0.282,18,156,0.99666,5.03,1.84,9,0,1.945910149,3
806,4.230673304,16.1,0.24,0.29,-61.5,-0.018,17,117,0.99411,3.36,0.68,6.9,0,2.079441542,3
807,3.039644692,7,0.42,0.19,66.7,0.071,177,-232,0.99476,3.39,0.56,10.9,0,2.079441542,2
811,4.633330402,6.2,0.25,1.97,-13.5,0.046,-196,831,0.99454,3.19,0.58,9.3,0,1.945910149,3
816,5.380659226,3,-1.22,1.36,19.3,0.049,-149,122,0.95998,5.54,1.25,2.5,2,1.945910149,3
818,2.789686968,-0.8,1.18,-0.33,-5.4,0.04,83,96,0.9912,3.06,0.61,12.1,0,2.197224577,2
819,1.782005984,-7,-0.74,0.33,1.8,-0.298,-232,-279,1.03992,2.66,0.4,10.6,-1,1.945910149,1
831,4.991343229,6.9,-1.17,0.38,104.1,0.039,-266,-263,0.9943,4.25,0.42,14.3,1,1.945910149,3
835,4.633880049,1,0.23,0.33,7.1,0.049,153,183,1.04921,4.41,0.9,9.8,1,2.079441542,3
837,1.713711018,6.3,0.25,0.44,12.1,0.041,48,-142,0.9968,3.18,0.52,9.5,-1,1.945910149,1
841,5.147548762,19.7,-0.79,0.36,17.2,0.039,26,130,0.99946,4.36,-1.11,12.4,1,1.945910149,3
846,2.746590578,6.3,-0.33,-0.61,-13.3,0.048,35,161,1.00753,3.14,0.56,10.6,-1,2.079441542,2
856,6.112107771,6.1,0.23,0.37,7.9,0.02,14,150,0.99488,2.86,0.49,5.4,1,1.945910149,4
861,3.347305384,5,0.7,-1.47,14.35,0.552,-216,-82,0.9988,2.93,-0.63,12.8,1,2.079441542,2
862,5.428864485,5.3,0.38,0.26,3.5,0.035,-231,111,0.94238,3.18,0.47,14.1,2,1.945910149,3
863,2.647328402,7.3,1.7,0.07,-0.8,-0.161,25,369,0.9948,2.66,-0.92,9.1,-1,2.079441542,2
865,3.526094452,6.2,0.25,-2.79,-29.7,0.049,113,568,0.9972,3.19,-0.06,9.9,0,1.945910149,2
871,2.030895025,6,0.86,1.81,-23.9,0.038,56,189.5,0.99637,3.59,0.43,10.6,-1,1.791759469,1
879,4.322583111,7.5,-0.39,0.56,2.7,0.067,-208,25,1.02427,3.24,-1.18,13.6,0,2.079441542,3
880,1.87368703,6.4,0.775,1.24,1.1,-0.244,44,140,1.00548,3.17,-0.34,16.7,-1,1.945910149,1
881,2.533793789,2.8,2.74,-0.21,46.1,0.045,-12,-157,0.98664,3.45,-0.21,13.2,0,2.197224577,2
885,3.35777959,7.6,-0.46,0.33,2,-0.459,78,483,0.97949,3.39,0.56,5.9,0,2.079441542,2
887,2.090052023,0.4,-1.11,-1.13,14.3,-0.1,45,336,0.99816,4.08,0.63,4,0,2.079441542,1
892,3.348702127,7.2,1.69,-0.98,-23.1,0,9,343,0.9972,2.65,2.77,9.6,1,2.079441542,2
898,3.401176771,10.4,0.15,0.36,60.5,-0.425,-247,134,1.0164,3.28,-0.18,9.8,0,1.945910149,2
900,3.347673408,1.5,0.16,0.27,-41.3,0.496,25,135,0.97707,4.02,-1.07,8.7,-2,2.079441542,3
904,4.399989142,6.1,0.34,0.46,2.4,0.029,21,-215,1.02431,3.29,0.61,9.2,0,1.945910149,3
906,4.963558614,4,-0.8,3.41,-4.8,-0.496,146,136,0.9932,3.3,0.96,9.8,1,2.079441542,3
910,3.983566373,-4,-0.49,0.43,0.9,0.038,149,729,0.98598,3.24,0.46,10.6,0,1.791759469,2
912,3.846764978,7.3,1.24,0.08,25,0.057,145,-166,1.04535,2.54,0.36,10.3,0,2.197224577,3
913,1.904469744,6.8,-1.89,1.3,46.1,0.531,38,153,0.97853,3.24,-0.22,0.9,-1,1.945910149,1
919,5.540007215,7.7,0.44,-1.1,11.2,0.031,343,167,0.97879,3.4,0.43,11.3,0,2.079441542,4
924,2.720437636,6.9,0.2,1.88,-22.4,0.04,78,167,0.99929,3.32,0.59,12.8,-1,2.079441542,2
925,2.52555097,11.6,0.585,0.09,61.7,-0.496,14,86,0.99264,3.64,0.94,8,0,1.791759469,1
930,2.922952614,28.9,-1.28,-1.1,13.7,0.056,119,76,0.98249,2.1,0.44,8.7,-1,2.079441542,2
940,1.226456416,7.4,0.3,0.61,-12.5,0.377,36,116,0.9953,4.27,0.59,10.4,-2,1.945910149,1
941,2.817546686,14.7,0.3,0.52,7.5,0.05,467,191,0.99366,3.17,-1.08,6.9,1,1.945910149,1
946,1.127588189,10.4,1.01,0.5,2.3,0.297,13,19,0.996,3.1,0.87,11.4,0,2.397895273,1
949,4.852685845,5.8,0.6,0.22,1.3,0.046,18,66,0.99307,4.87,0.55,10.3,1,1.945910149,3
951,1.628103893,6.1,1.76,-1.1,5,0.042,17,133,1.02882,2.55,-1.13,9.4,-1,1.945910149,1
962,3.741236542,5.8,0.19,0.37,1.1,0.279,31,451,0.98942,3.53,0.48,11.4,0,1.791759469,2
966,1.558738959,7.4,0.05,0.78,-56.1,0.082,258,82,0.98074,4.52,1.57,14.7,-1,2.079441542,1
967,6.224625838,4.9,-1.14,1.25,57,-0.38,31,40,0.9849,3.33,0.44,6.433333333,0,1.791759469,4
971,2.561137857,6.2,0.45,1.63,13.1,-0.07,3,-87,0.95659,4.52,0.76,9,1,1.945910149,1
981,3.49450333,8,0.43,1.12,12.4,0.168,29,190,1.01594,2.41,2.3,9.2,-1,2.197224577,3
982,2.445251962,9.4,-0.585,0.68,-16.3,0.043,3,10,0.95612,2.21,0.71,17.2,-1,2.302585093,2
983,3.302526577,17.8,0.61,0,-55.8,0.625,168,8,0.96345,2.54,0.37,10.4,0,1.945910149,2
984,3.924654902,6.1,0.3,0.58,119.3,0.049,258,187,0.9927,1.99,0.85,9.5,1,1.945910149,2
989,1.57483827,11.6,1.59,0.34,1.6,0.311,33,176,0.9946,2.55,0.98,9.7,-2,2.302585093,2
990,3.907055286,9.7,-0.18,0.29,14.4,-0.548,54,-91,0.9991,3.17,1.07,8.9,1,1.945910149,2
992,2.117467105,12.6,-1.04,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0,2.079441542,1
995,5.078401961,7.4,0.18,-0.54,1.5,0.003,-159,316,0.96141,3.43,0.85,16.8,1,1.945910149,3
996,1.761292051,0.9,0.34,0.57,19.25,-0.157,29,134,0.99462,4.04,1.1,10.7,-1,1.945910149,1
998,2.199888686,12.6,1.62,-0.46,60.6,0.065,5,253,0.96459,3.27,3.75,11.2,-1,2.197224577,2
1001,5.270346965,4.6,-2.56,1.41,-61.15,0.045,-86,131,1.00309,4.21,1,11.7,-1,2.079441542,4
1007,2.067088396,6.8,-0.15,-0.24,3.8,-0.254,16,458,0.9969,3.28,1.93,9.5,0,2.079441542,1
1008,1.578398636,-0.8,0.28,0.29,42.4,0.051,-121,76,1.06875,3.07,0.99,6,-1,1.945910149,1
1016,1.967168736,5.9,0.51,1.3,1.4,0.141,52,119,0.9931,4.19,1.73,10.5,-1,1.791759469,1
1022,1.654935231,6.9,0.24,0.39,55.9,-0.087,223,136,0.9928,2.66,1.06,15,-1,2.079441542,1
1027,4.834357424,10.4,0.27,-2.71,7.6,1.228,35,432,1.03513,4.62,-0.81,16.1,1,1.945910149,3
1032,4.964570948,9.2,-0.37,0.28,-39.5,0.043,17,-196,1.01507,3.99,0.38,13.2,1,1.945910149,3
1033,3.116471538,17,1.44,0.83,6.1,-0.602,-445,-167,0.99054,3.19,2.57,13.7,0,1.945910149,2
1041,4.186625835,11.1,1.43,1.74,-38.5,0.28,-3,141,0.9962,3.25,0.51,3.3,1,2.197224577,3
1065,1.548550773,5.6,0.64,1.25,48.1,0.043,21,159,0.9948,3.52,0.36,18.1,-1,2.079441542,1
1074,4.767004127,-0.1,0.24,0.31,2.8,-0.427,-122,330,1.01812,2.53,-2.37,11.7,0,1.945910149,3
